X;Y
0,4164978;-0,3728652
0,4164978;-0,3728652
0,4163904;-0,3729116
0,4163904;-0,3729116
0,4163369;-0,372946
0,416299;-0,3729658
0,416299;-0,3729658
0,4162579;-0,3729931
0,4162579;-0,3729931
0,4162422;-0,3729863
0,4162229;-0,3729773
0,4162229;-0,3729773
0,41618;-0,3729578
0,41618;-0,3729578
0,4161572;-0,372957
0,4161439;-0,3729703
0,4161439;-0,3729703
0,4161281;-0,372996
0,4161281;-0,372996
0,4161107;-0,373026
0,4161043;-0,373051
0,4161043;-0,373051
0,4161133;-0,3730704
0,4161133;-0,3730704
0,416119;-0,3730883
0,4161514;-0,3730954
0,4161514;-0,3730954
0,4161769;-0,3731326
0,4161769;-0,3731326
0,4162318;-0,3731694
0,4163387;-0,3731862
0,4163387;-0,3731862
0,4164726;-0,3731803
0,4164726;-0,3731803
0,4166166;-0,3731811
0,4167841;-0,3731797
0,4167841;-0,3731797
0,4170044;-0,3731797
0,4170044;-0,3731797
0,4172347;-0,3731936
0,4175033;-0,3732016
0,4175033;-0,3732016
0,4178312;-0,373198
0,4178312;-0,373198
0,4181893;-0,3731889
0,4186929;-0,3731999
0,4186929;-0,3731999
0,4190501;-0,3732232
0,4190501;-0,3732232
0,419434;-0,3732333
0,4198293;-0,3733038
0,4198293;-0,3733038
0,4202212;-0,3733546
0,4202212;-0,3733546
0,42064;-0,3734288
0,4209735;-0,3735035
0,4209735;-0,3735035
0,4213374;-0,3735934
0,4213374;-0,3735934
0,4216938;-0,3737001
0,4216938;-0,3737001
0,4220591;-0,3737919
0,42233;-0,373832
0,42233;-0,373832
0,4225595;-0,3739016
0,4225595;-0,3739016
0,4228373;-0,3739715
0,4230695;-0,3740835
0,4230695;-0,3740835
0,4233286;-0,3741691
0,4233286;-0,3741691
0,4235613;-0,3742401
0,4238571;-0,3743064
0,4238571;-0,3743064
0,4240604;-0,374379
0,4240604;-0,374379
0,424241;-0,3744641
0,4243734;-0,3745367
0,4243734;-0,3745367
0,4244922;-0,3746004
0,4244922;-0,3746004
0,4245972;-0,3746553
0,424682;-0,3747098
0,424682;-0,3747098
0,4247527;-0,3747671
0,4247527;-0,3747671
0,424814;-0,3748295
0,4248624;-0,3748914
0,4248624;-0,3748914
0,4248796;-0,3749326
0,4248796;-0,3749326
0,424897;-0,3749713
0,4249018;-0,3750076
0,4249018;-0,3750076
0,4248844;-0,3750391
0,4248844;-0,3750391
0,4248548;-0,3750556
0,424823;-0,3750866
0,424823;-0,3750866
0,4248067;-0,3751007
0,4248067;-0,3751007
0,4248066;-0,3750995
0,4248054;-0,3751143
0,4248054;-0,3751143
0,4248013;-0,3751444
0,4248013;-0,3751444
0,424805;-0,3751756
0,4248122;-0,3752027
0,4248122;-0,3752027
0,4248152;-0,3752237
0,4248152;-0,3752237
0,4248321;-0,3752409
0,4248669;-0,3752557
0,4248669;-0,3752557
0,4249112;-0,3752671
0,4249112;-0,3752671
0,4249112;-0,3752671
0,4249886;-0,3752913
0,4249886;-0,3752913
0,4250323;-0,3752936
0,4250323;-0,3752936
0,4250709;-0,3753102
0,4251161;-0,3753314
0,4251161;-0,3753314
0,4251575;-0,375351
0,4251575;-0,375351
0,4251918;-0,3753697
0,4252066;-0,3753635
0,4252066;-0,3753635
0,4252093;-0,3753312
0,4252093;-0,3753312
0,4252023;-0,3753041
0,4251949;-0,3753052
0,4251949;-0,3753052
0,4251902;-0,3753071
0,4251902;-0,3753071
0,4251654;-0,3753064
0,4251449;-0,3753122
0,4251449;-0,3753122
0,425115;-0,375314
0,425115;-0,375314
0,425066;-0,3753224
0,4250174;-0,3753147
0,4250174;-0,3753147
0,4249911;-0,3753124
0,4249911;-0,3753124
0,4249667;-0,3753048
0,4249333;-0,3752917
0,4249333;-0,3752917
0,4248998;-0,375275
0,4248998;-0,375275
0,4248807;-0,3752604
0,4248841;-0,3752496
0,4248841;-0,3752496
0,4249085;-0,3752438
0,4249085;-0,3752438
0,4249085;-0,3752438
0,4249025;-0,3752246
0,4249025;-0,3752246
0,4249038;-0,3751939
0,4249038;-0,3751939
0,4249269;-0,3751895
0,4249269;-0,3751895
0,4250265;-0,3751749
